TIGRFAM	link	mainrole	subrole	Name	Function	Isology_Type	EC_Number
TIGR00035	109	Energy metabolism	Amino acids and amines	asp_race	aspartate racemase	subfamily	5.1.1.13
TIGR00036	71	Amino acid biosynthesis	Aspartate family	dapB	4-hydroxy-tetrahydrodipicolinate reductase	equivalog	1.17.1.8
TIGR00037	169	Protein synthesis	Translation factors	eIF_5A	translation elongation factor IF5A	equivalog	
TIGR00038	169	Protein synthesis	Translation factors	efp	translation elongation factor P	equivalog	
TIGR00039	168	Protein synthesis	tRNA and rRNA base modification	6PTHBS	6-pyruvoyl tetrahydropterin synthase/QueD family protein	subfamily	
TIGR00040	703	Unknown function	Enzymes of unknown specificity	yfcE	"_phosphodiesterase, MJ0936 family_"	subfamily	3.1.-.-
TIGR00041	124	"Purines, pyrimidines, nucleosides, and nucleotides"	Nucleotide and nucleoside interconversions	DTMP_kinase	dTMP kinase	equivalog	2.7.4.9
TIGR00042	132	DNA metabolism	"DNA replication, recombination, and repair"	TIGR00042	"_non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family_"	equivalog	3.6.1.-
TIGR00043	136	Protein synthesis	Other	TIGR00043	rRNA maturation RNase YbeY	equivalog	
TIGR00044	703	Unknown function	Enzymes of unknown specificity	TIGR00044	"_pyridoxal phosphate enzyme, YggS family_"	hypoth_equivalog	
TIGR00045	184	Energy metabolism	Other	TIGR00045	glycerate kinase	subfamily	2.7.1.31
TIGR00046	168	Protein synthesis	tRNA and rRNA base modification	TIGR00046	"_RNA methyltransferase, RsmE family_"	subfamily	2.1.1.-
TIGR00048	168	Protein synthesis	tRNA and rRNA base modification	rRNA_mod_RlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase	equivalog	2.1.1.192
TIGR00049	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	TIGR00049	iron-sulfur cluster assembly accessory protein	subfamily	
TIGR00050	168	Protein synthesis	tRNA and rRNA base modification	rRNA_methyl_1	"_RNA methyltransferase, TrmH family, group 1_"	subfamily	2.1.1.-
TIGR00051	157	Unknown function	General	TIGR00051	"_acyl-CoA thioester hydrolase, YbgC/YbaW family_"	subfamily	
TIGR00052	703	Unknown function	Enzymes of unknown specificity	TIGR00052	"_nudix-type nucleoside diphosphatase, YffH/AdpP family_"	subfamily	3.6.1.-
TIGR00053	149	Cellular processes	Adaptations to atypical conditions	TIGR00053	"_addiction module toxin component, YafQ family_"	subfamily	
TIGR00054	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	TIGR00054	RIP metalloprotease RseP	equivalog	3.4.24.-
TIGR00055	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	uppS	"_di-trans,poly-cis-decaprenylcistransferase_"	equivalog	2.5.1.31
TIGR00056	156	Hypothetical proteins	Conserved	TIGR00056	ABC transport permease subunit	subfamily	
TIGR00057	168	Protein synthesis	tRNA and rRNA base modification	TIGR00057	"_tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family_"	equivalog	
TIGR00059	158	Protein synthesis	Ribosomal proteins: synthesis and modification	L17	ribosomal protein bL17	equivalog	
TIGR00060	158	Protein synthesis	Ribosomal proteins: synthesis and modification	L18_bact	ribosomal protein uL18	equivalog	
TIGR00061	158	Protein synthesis	Ribosomal proteins: synthesis and modification	L21	ribosomal protein bL21	equivalog	
TIGR00062	158	Protein synthesis	Ribosomal proteins: synthesis and modification	L27	ribosomal protein bL27	equivalog	
TIGR00063	78	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	folE	GTP cyclohydrolase I	equivalog	3.5.4.16
TIGR00064	97	Protein fate	Protein and peptide secretion and trafficking	ftsY	signal recognition particle-docking protein FtsY	equivalog	
TIGR00065	93	Cellular processes	Cell division	ftsZ	cell division protein FtsZ	equivalog	
TIGR00066	86	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Glutathione and analogs	g_glut_trans	gamma-glutamyltransferase	equivalog	2.3.2.2
TIGR00067	89	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	glut_race	glutamate racemase	equivalog	5.1.1.3
TIGR00068	184	Energy metabolism	Other	glyox_I	lactoylglutathione lyase	equivalog	4.4.1.5
TIGR00069	161	Amino acid biosynthesis	Histidine family	hisD	histidinol dehydrogenase	equivalog_domain	1.1.1.23
TIGR00070	161	Amino acid biosynthesis	Histidine family	hisG	ATP phosphoribosyltransferase	equivalog	2.4.2.17
TIGR00071	168	Protein synthesis	tRNA and rRNA base modification	hisT_truA	tRNA pseudouridine(38-40) synthase	equivalog	5.4.99.12
TIGR00073	140	Protein fate	Protein modification and repair	hypB	hydrogenase accessory protein HypB	equivalog	
TIGR00074	95	Protein fate	Protein folding and stabilization	hypC_hupF	hydrogenase assembly chaperone HypC/HupF	equivalog	
TIGR00075	140	Protein fate	Protein modification and repair	hypD	hydrogenase expression/formation protein HypD	equivalog	
TIGR00077	97	Protein fate	Protein and peptide secretion and trafficking	lspA	signal peptidase II	equivalog	3.4.23.36
TIGR00078	163	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	nadC	nicotinate-nucleotide diphosphorylase (carboxylating)	equivalog	2.4.2.19
TIGR00079	140	Protein fate	Protein modification and repair	pept_deformyl	peptide deformylase	equivalog	3.5.1.88
TIGR00080	140	Protein fate	Protein modification and repair	pimt	protein-L-isoaspartate O-methyltransferase	equivalog	2.1.1.77
TIGR00081	125	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	purC	phosphoribosylaminoimidazolesuccinocarboxamide synthase	equivalog	6.3.2.6
TIGR00082	166	Transcription	RNA processing	rbfA	ribosome-binding factor A	equivalog	
TIGR00083	85	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	ribF	riboflavin biosynthesis protein RibF	equivalog	2.7.1.26 2.7.7.2
TIGR00084	132	DNA metabolism	"DNA replication, recombination, and repair"	ruvA	Holliday junction DNA helicase RuvA	equivalog	3.6.4.12
TIGR00086	136	Protein synthesis	Other	smpB	SsrA-binding protein	equivalog	
TIGR00087	149	Cellular processes	Adaptations to atypical conditions	surE	5`/3`-nucleotidase SurE	equivalog	3.1.3.5 3.1.3.6
TIGR00088	168	Protein synthesis	tRNA and rRNA base modification	trmD	tRNA (guanine(37)-N(1))-methyltransferase	equivalog	2.1.1.228
TIGR00090	169	Protein synthesis	Translation factors	rsfS_iojap_ybeB	ribosome silencing factor	equivalog	
TIGR00091	168	Protein synthesis	tRNA and rRNA base modification	TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	equivalog	2.1.1.33
TIGR00092	157	Unknown function	General	TIGR00092	GTP-binding protein YchF	hypoth_equivalog	
TIGR00093	168	Protein synthesis	tRNA and rRNA base modification	TIGR00093	pseudouridine synthase	subfamily	5.4.99.-
TIGR00094	168	Protein synthesis	tRNA and rRNA base modification	tRNA_TruD_broad	"_tRNA pseudouridine synthase, TruD family_"	subfamily	5.4.99.-
TIGR00095	168	Protein synthesis	tRNA and rRNA base modification	TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	equivalog	2.1.1.171
TIGR00096	168	Protein synthesis	tRNA and rRNA base modification	TIGR00096	16S rRNA (cytidine(1402)-2`-O)-methyltransferase	equivalog	2.1.1.198
TIGR00097	162	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	HMP-P_kinase	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	equivalog_domain	2.7.1.49 2.7.4.7
TIGR00099	703	Unknown function	Enzymes of unknown specificity	Cof-subfamily	Cof-like hydrolase	subfamily	
TIGR00100	140	Protein fate	Protein modification and repair	hypA	hydrogenase nickel insertion protein HypA	equivalog	
TIGR00101	160	Central intermediary metabolism	Nitrogen metabolism	ureG	urease accessory protein UreG	equivalog	
TIGR00103	157	Unknown function	General	DNA_YbaB_EbfC	"_DNA-binding protein, YbaB/EbfC family_"	equivalog	
TIGR00104	703	Unknown function	Enzymes of unknown specificity	tRNA_TsaA	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA	equivalog	2.1.1.-
TIGR00105	158	Protein synthesis	Ribosomal proteins: synthesis and modification	L31	ribosomal protein bL31	equivalog	
TIGR00106	157	Unknown function	General	TIGR00106	"_uncharacterized protein, MTH1187 family_"	hypoth_equivalog	
TIGR00107	127	"Purines, pyrimidines, nucleosides, and nucleotides"	Salvage of nucleosides and nucleotides	deoD	purine nucleoside phosphorylase	equivalog	2.4.2.1
TIGR00109	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	hemH	ferrochelatase	equivalog	4.99.1.1
TIGR00110	74	Amino acid biosynthesis	Pyruvate family	ilvD	dihydroxy-acid dehydratase	equivalog	4.2.1.9
TIGR00111	169	Protein synthesis	Translation factors	pelota	mRNA surveillance protein pelota	equivalog	
TIGR00112	73	Amino acid biosynthesis	Glutamate family	proC	pyrroline-5-carboxylate reductase	equivalog	1.5.1.2
TIGR00113	168	Protein synthesis	tRNA and rRNA base modification	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	equivalog	2.4.99.17
TIGR00114	85	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	lumazine-synth	"_6,7-dimethyl-8-ribityllumazine synthase_"	equivalog	2.5.1.78
TIGR00115	95	Protein fate	Protein folding and stabilization	tig	trigger factor	equivalog	5.2.1.8
TIGR00116	169	Protein synthesis	Translation factors	tsf	translation elongation factor Ts	equivalog	
TIGR00117	120	Energy metabolism	TCA cycle	acnB	aconitate hydratase 2	equivalog	4.2.1.3
TIGR00118	74	Amino acid biosynthesis	Pyruvate family	acolac_lg	"_acetolactate synthase, large subunit, biosynthetic type_"	equivalog	2.2.1.6
TIGR00119	74	Amino acid biosynthesis	Pyruvate family	acolac_sm	"_acetolactate synthase, small subunit_"	equivalog	2.2.1.6
TIGR00120	73	Amino acid biosynthesis	Glutamate family	ArgJ	glutamate N-acetyltransferase/amino-acid acetyltransferase	equivalog	2.3.1.35 2.3.1.1
TIGR00121	140	Protein fate	Protein modification and repair	birA_ligase	biotin--[acetyl-CoA-carboxylase] ligase	equivalog_domain	6.3.4.15
TIGR00122	261	Regulatory functions	DNA interactions	birA_repr_reg	biotin operon repressor	equivalog_domain	
TIGR00123	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cbiM	cobalamin biosynthesis protein CbiM	equivalog	
TIGR00124	140	Protein fate	Protein modification and repair	cit_ly_ligase	[citrate (pro-3S)-lyase] ligase	equivalog	6.2.1.22
TIGR00126	122	"Purines, pyrimidines, nucleosides, and nucleotides"	Other	deoC	deoxyribose-phosphate aldolase	equivalog	4.1.2.4
TIGR00127	120	Energy metabolism	TCA cycle	nadp_idh_euk	"_isocitrate dehydrogenase, NADP-dependent_"	equivalog	1.1.1.42
TIGR00128	176	Fatty acid and phospholipid metabolism	Biosynthesis	fabD	malonyl CoA-acyl carrier protein transacylase	equivalog	2.3.1.39
TIGR00129	112	Energy metabolism	Electron transport	fdhD_narQ	formate dehydrogenase family accessory protein FdhD	equivalog	
TIGR00130	140	Protein fate	Protein modification and repair	frhD	"_coenzyme F420-reducing hydrogenase, FrhD protein_"	equivalog	
TIGR00131	119	Energy metabolism	Sugars	gal_kin	galactokinase	equivalog	2.7.1.6
TIGR00132	137	Protein synthesis	tRNA aminoacylation	gatA	"_aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit_"	equivalog	6.3.5.-
TIGR00133	137	Protein synthesis	tRNA aminoacylation	gatB	"_aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit_"	equivalog	6.3.5.-
TIGR00134	137	Protein synthesis	tRNA aminoacylation	gatE_arch	"_glutamyl-tRNA(Gln) amidotransferase, subunit E_"	equivalog	6.3.5.-
TIGR00135	137	Protein synthesis	tRNA aminoacylation	gatC	"_aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit_"	equivalog	6.3.5.-
TIGR00136	168	Protein synthesis	tRNA and rRNA base modification	gidA	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	equivalog	
TIGR00137	168	Protein synthesis	tRNA and rRNA base modification	gid_trmFO	tRNA:m(5)U-54 methyltransferase	equivalog	2.1.1.74
TIGR00138	168	Protein synthesis	tRNA and rRNA base modification	rsmG_gidB	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	equivalog	2.1.1.170
TIGR00139	71	Amino acid biosynthesis	Aspartate family	h_aconitase	homoaconitase	equivalog	4.2.1.36
TIGR00140	140	Protein fate	Protein modification and repair	hupD	hydrogenase expression/formation protein	equivalog	3.4.23.-
TIGR00142	140	Protein fate	Protein modification and repair	hycI	hydrogenase maturation peptidase HycI	equivalog	3.4.23.-
TIGR00143	140	Protein fate	Protein modification and repair	hypF	carbamoyltransferase HypF	equivalog	
TIGR00144	703	Unknown function	Enzymes of unknown specificity	beta_RFAP_syn	beta-ribofuranosylaminobenzene 5`-phosphate synthase family	subfamily	
TIGR00145	157	Unknown function	General	TIGR00145	FTR1 family protein	subfamily	
TIGR00147	703	Unknown function	Enzymes of unknown specificity	TIGR00147	"_lipid kinase, YegS/Rv2252/BmrU family_"	subfamily	2.7.1.-
TIGR00148	157	Unknown function	General	TIGR00148	"_decarboxylase, UbiD family_"	subfamily	4.1.1.-
TIGR00149	703	Unknown function	Enzymes of unknown specificity	TIGR00149_YjbQ	secondary thiamine-phosphate synthase enzyme	hypoth_equivalog	
TIGR00150	168	Protein synthesis	tRNA and rRNA base modification	T6A_YjeE	tRNA threonylcarbamoyl adenosine modification protein YjeE	equivalog	
TIGR00151	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	ispF	"_2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase_"	equivalog_domain	4.6.1.12
TIGR00152	83	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	TIGR00152	dephospho-CoA kinase	equivalog	2.7.1.24
TIGR00153	156	Hypothetical proteins	Conserved	TIGR00153	TIGR00153 family protein	hypoth_equivalog	
TIGR00154	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	ispE	4-(cytidine 5`-diphospho)-2-C-methyl-D-erythritol kinase	equivalog	2.7.1.148
TIGR00155	157	Unknown function	General	pqiA_fam	"_integral membrane protein, PqiA family_"	subfamily	
TIGR00156	156	Hypothetical proteins	Conserved	TIGR00156	TIGR00156 family protein	hypoth_equivalog	
TIGR00157	169	Protein synthesis	Translation factors	TIGR00157	ribosome small subunit-dependent GTPase A	equivalog	3.6.-.-
TIGR00158	158	Protein synthesis	Ribosomal proteins: synthesis and modification	L9	ribosomal protein bL9	equivalog	
TIGR00159	156	Hypothetical proteins	Conserved	TIGR00159	TIGR00159 family protein	hypoth_equivalog	
TIGR00160	184	Energy metabolism	Other	MGSA	methylglyoxal synthase	equivalog	4.2.3.3
TIGR00161	156	Hypothetical proteins	Conserved	TIGR00161	TIGR00161 family protein	hypoth_equivalog	
TIGR00162	156	Hypothetical proteins	Conserved	TIGR00162	TIGR00162 family protein	hypoth_equivalog	
TIGR00163	176	Fatty acid and phospholipid metabolism	Biosynthesis	PS_decarb	phosphatidylserine decarboxylase	equivalog	4.1.1.65
TIGR00164	157	Unknown function	General	PS_decarb_rel	phosphatidylserine decarboxylase homolog	hypoth_equivalog	
TIGR00165	158	Protein synthesis	Ribosomal proteins: synthesis and modification	S18	ribosomal protein bS18	equivalog	
TIGR00166	158	Protein synthesis	Ribosomal proteins: synthesis and modification	S6	ribosomal protein bS6	equivalog	
TIGR00167	116	Energy metabolism	Glycolysis/gluconeogenesis	cbbA	ketose-bisphosphate aldolase	subfamily	
TIGR00168	169	Protein synthesis	Translation factors	infC	translation initiation factor IF-3	equivalog	
TIGR00169	74	Amino acid biosynthesis	Pyruvate family	leuB	3-isopropylmalate dehydrogenase	equivalog	1.1.1.85
TIGR00170	74	Amino acid biosynthesis	Pyruvate family	leuC	"_3-isopropylmalate dehydratase, large subunit_"	equivalog_domain	4.2.1.33
TIGR00171	74	Amino acid biosynthesis	Pyruvate family	leuD	"_3-isopropylmalate dehydratase, small subunit_"	equivalog_domain	4.2.1.33
TIGR00172	93	Cellular processes	Cell division	maf	septum formation protein Maf	equivalog	
TIGR00173	81	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	equivalog	2.2.1.9
TIGR00174	168	Protein synthesis	tRNA and rRNA base modification	miaA	tRNA dimethylallyltransferase	equivalog	2.5.1.75
TIGR00175	120	Energy metabolism	TCA cycle	mito_nad_idh	"_isocitrate dehydrogenase, NAD-dependent_"	equivalog	1.1.1.41
TIGR00176	82	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	mobB	molybdopterin-guanine dinucleotide biosynthesis protein B	equivalog	
TIGR00178	120	Energy metabolism	TCA cycle	monomer_idh	"_isocitrate dehydrogenase, NADP-dependent_"	equivalog	1.1.1.42
TIGR00179	89	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	equivalog	1.3.1.98
TIGR00181	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	pepF	oligoendopeptidase F	equivalog	3.4.24.-
TIGR00182	176	Fatty acid and phospholipid metabolism	Biosynthesis	plsX	fatty acid/phospholipid synthesis protein PlsX	equivalog	
TIGR00183	120	Energy metabolism	TCA cycle	prok_nadp_idh	"_isocitrate dehydrogenase, NADP-dependent_"	equivalog	1.1.1.42
TIGR00184	125	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	purA	adenylosuccinate synthase	equivalog	6.3.4.4
TIGR00185	168	Protein synthesis	tRNA and rRNA base modification	tRNA_yibK_trmL	tRNA (cytidine(34)-2`-O)-methyltransferase	equivalog	2.1.1.207
TIGR00186	168	Protein synthesis	tRNA and rRNA base modification	rRNA_methyl_3	"_RNA methyltransferase, TrmH family, group 3_"	hypoth_equivalog	
TIGR00187	85	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	ribE	"_riboflavin synthase, alpha subunit_"	equivalog	2.5.1.9
TIGR00188	166	Transcription	RNA processing	rnpA	ribonuclease P protein component	equivalog	3.1.26.5
TIGR00189	176	Fatty acid and phospholipid metabolism	Biosynthesis	tesB	acyl-CoA thioesterase II	equivalog	3.1.2.-
TIGR00190	162	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	thiC	phosphomethylpyrimidine synthase	equivalog	4.1.99.17
TIGR00191	71	Amino acid biosynthesis	Aspartate family	thrB	homoserine kinase	equivalog	2.7.1.39
TIGR00192	160	Central intermediary metabolism	Nitrogen metabolism	urease_beta	"_urease, beta subunit_"	equivalog_domain	3.5.1.5
TIGR00193	160	Central intermediary metabolism	Nitrogen metabolism	urease_gam	"_urease, gamma subunit_"	equivalog_domain	3.5.1.5
TIGR00194	132	DNA metabolism	"DNA replication, recombination, and repair"	uvrC	excinuclease ABC subunit C	equivalog	3.1.25.-
TIGR00195	132	DNA metabolism	"DNA replication, recombination, and repair"	exoDNase_III	exodeoxyribonuclease III	equivalog	3.1.11.2
TIGR00196	157	Unknown function	General	yjeF_cterm	YjeF family C-terminal domain	hypoth_equivalog_domain	
TIGR00197	157	Unknown function	General	yjeF_nterm	YjeF family N-terminal domain	hypoth_equivalog_domain	
TIGR00198	96	Cellular processes	Detoxification	cat_per_HPI	catalase/peroxidase HPI	equivalog	1.11.1.6
TIGR00199	132	DNA metabolism	"DNA replication, recombination, and repair"	PncC_domain	"_amidohydrolase, PncC family_"	subfamily_domain	3.5.-.-
TIGR00200	132	DNA metabolism	"DNA replication, recombination, and repair"	cinA_nterm	competence/damage-inducible protein CinA N-terminal domain	domain	
TIGR00201	98	Cellular processes	DNA transformation	comF	comF family protein	subfamily	
TIGR00202	262	Regulatory functions	RNA interactions	csrA	carbon storage regulator	equivalog	
TIGR00203	112	Energy metabolism	Electron transport	cydB	"_cytochrome d ubiquinol oxidase, subunit II_"	equivalog	1.10.3.-
TIGR00204	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	dxs	1-deoxy-D-xylulose-5-phosphate synthase	equivalog	2.2.1.7
TIGR00205	188	Cellular processes	Chemotaxis and motility	fliE	flagellar hook-basal body complex protein FliE	equivalog	
TIGR00206	188	Cellular processes	Chemotaxis and motility	fliF	flagellar M-ring protein FliF	equivalog	
TIGR00207	188	Cellular processes	Chemotaxis and motility	fliG	flagellar motor switch protein FliG	equivalog	
TIGR00208	188	Cellular processes	Chemotaxis and motility	fliS	flagellar protein FliS	equivalog	
TIGR00209	119	Energy metabolism	Sugars	galT_1	galactose-1-phosphate uridylyltransferase	equivalog	2.7.7.10
TIGR00210	142	Transport and binding proteins	"Amino acids, peptides and amines"	gltS	sodium/glutamate symporter	equivalog	
TIGR00211	137	Protein synthesis	tRNA aminoacylation	glyS	"_glycine--tRNA ligase, beta subunit_"	equivalog_domain	6.1.1.14
TIGR00212	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	hemC	hydroxymethylbilane synthase	equivalog	2.5.1.61
TIGR00213	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GmhB_yaeD	"_D,D-heptose 1,7-bisphosphate phosphatase_"	subfamily	
TIGR00214	140	Protein fate	Protein modification and repair	lipB	lipoyl(octanoyl) transferase	equivalog	2.3.1.181
TIGR00215	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	lpxB	lipid-A-disaccharide synthase	equivalog	2.4.1.182
TIGR00216	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	ispH_lytB	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	equivalog	1.17.1.2
TIGR00217	105	Energy metabolism	Biosynthesis and degradation of polysaccharides	malQ	4-alpha-glucanotransferase	equivalog	2.4.1.25
TIGR00218	119	Energy metabolism	Sugars	manA	"_mannose-6-phosphate isomerase, class I_"	equivalog	5.3.1.8
TIGR00219	89	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	mreC	rod shape-determining protein MreC	equivalog	
TIGR00220	149	Cellular processes	Adaptations to atypical conditions	mscL	large conductance mechanosensitive channel protein	equivalog	
TIGR00221	100	Central intermediary metabolism	Amino sugars	nagA	N-acetylglucosamine-6-phosphate deacetylase	equivalog	3.5.1.25
TIGR00222	83	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	equivalog	2.1.2.11
TIGR00223	83	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	panD	aspartate 1-decarboxylase	equivalog	4.1.1.11
TIGR00224	116	Energy metabolism	Glycolysis/gluconeogenesis	pckA	phosphoenolpyruvate carboxykinase (ATP)	equivalog	4.1.1.49
TIGR00225	140	Protein fate	Protein modification and repair	prc	C-terminal processing peptidase	subfamily	3.4.21.-
TIGR00228	132	DNA metabolism	"DNA replication, recombination, and repair"	ruvC	crossover junction endodeoxyribonuclease RuvC	equivalog	3.1.22.4
TIGR00229	264	Regulatory functions	Small molecule interactions	sensory_box	PAS domain S-box protein	domain	
TIGR00230	119	Energy metabolism	Sugars	sfsA	sugar fermentation stimulation protein	equivalog	
TIGR00231	157	Unknown function	General	small_GTP	small GTP-binding protein domain	domain	
TIGR00232	117	Energy metabolism	Pentose phosphate pathway	tktlase_bact	transketolase	equivalog	2.2.1.1
